DATE,WELL_NAME,Oil_Rate,Gas_Rate,Pwf,Flow_Rate
2020-01-01,Well_A,6114.30306337799,7318.700811478097,2518.0967689050035,3965.312549336644
2020-01-02,Well_A,6115.532333803388,7370.849002259653,2536.7825919986913,4018.445624700425
2020-01-03,Well_A,6054.278530839211,7382.592646746987,2425.269883694931,3979.295796506889
2020-01-04,Well_A,6153.365773487404,7338.9659907950345,2483.4870330598756,4002.6718455777873
2020-01-05,Well_A,6107.033122884485,7318.249253837663,2416.6277390909618,3967.521933767378
2020-01-06,Well_A,6133.727708832975,7438.375137329673,2452.480609253996,3966.8241016062784
2020-01-07,Well_A,6178.587911875021,7457.979692855278,2478.988110956204,4088.372937174313
2020-01-08,Well_A,6040.021678047482,7341.200571910314,2506.073082782502,4051.081336859891
2020-01-09,Well_A,6084.578197857636,7408.148124921278,2516.7249802307388,4010.9270339237155
2020-01-10,Well_A,6068.954940329944,7461.223120835319,2547.8903847574493,3964.2143410147287
2020-01-11,Well_A,6089.104691510455,7297.397259919475,2495.7967000340277,3974.204360925753
2020-01-12,Well_A,5999.772255494098,7260.796081064468,2471.3489886180464,3946.8007489310485
2020-01-13,Well_A,6036.155497532999,7303.73199038778,2356.1143483872665,3970.4089857900176
2020-01-14,Well_A,6133.774719290607,7340.262470780203,2457.753494489699,4005.6375989345674
2020-01-15,Well_A,6096.101655876003,7352.0104425116415,2492.572499241484,3976.1684072421535
2020-01-16,Well_A,6054.444322325381,7234.795890675317,2445.0380705110692,4019.2407474951824
2020-01-17,Well_A,6126.706201180993,7270.2217521284765,2485.8881683613167,3971.7182849065175
2020-01-18,Well_A,6046.072862952665,7228.583718233586,2448.654379620482,3991.1621252068817
2020-01-19,Well_A,6044.839489433962,7253.087739259053,2492.865533206902,3988.5074158337306
2020-01-20,Well_A,5940.70915913784,7252.842065102339,2512.905277974571,4051.1813008796485
2020-01-21,Well_A,6000.342816457932,7328.208605402886,2498.129277894525,3991.5293571160896
2020-01-22,Well_A,6051.716349454828,7308.268196221043,2480.7976866814606,3987.719116553863
2020-01-23,Well_A,6068.408277583838,7286.890831712745,2468.1181212591664,4003.474412398791
2020-01-24,Well_A,6035.069456259578,7282.774361306154,2493.641700200913,4012.3562097009626
